Processing window [0,24] of 17520 indices
Processing window [24,48] of 17520 indices
Processing window [48,72] of 17520 indices
Processing window [72,96] of 17520 indices
Processing window [96,120] of 17520 indices
Processing window [120,144] of 17520 indices
Processing window [144,168] of 17520 indices
Processing window [168,192] of 17520 indices
Processing window [192,216] of 17520 indices
Processing window [216,240] of 17520 indices
Processing window [240,264] of 17520 indices
Processing window [264,288] of 17520 indices
Processing window [288,312] of 17520 indices
Processing window [312,336] of 17520 indices
Processing window [336,360] of 17520 indices
Processing window [360,384] of 17520 indices
Processing window [384,408] of 17520 indices
Processing window [408,432] of 17520 indices
Processing window [432,456] of 17520 indices
Processing window [456,480] of 17520 indices
Processing window [480,504] of 17520 indices
Processing window [504,528] of 17520 indices
Processing window [528,552] of 17520 indices
Processing window [552,576] of 17520 indices
Processing window [576,600] of 17520 indices
Processing window [600,624] of 17520 indices
Processing window [624,648] of 17520 indices
Processing window [648,672] of 17520 indices
Processing window [672,696] of 17520 indices
Processing window [696,720] of 17520 indices
Processing window [720,744] of 17520 indices
Processing window [744,768] of 17520 indices
Processing window [768,792] of 17520 indices
Processing window [792,816] of 17520 indices
Processing window [816,840] of 17520 indices
Processing window [840,864] of 17520 indices
Processing window [864,888] of 17520 indices
Processing window [888,912] of 17520 indices
Processing window [912,936] of 17520 indices
Processing window [936,960] of 17520 indices
Processing window [960,984] of 17520 indices
Processing window [984,1008] of 17520 indices
Processing window [1008,1032] of 17520 indices
Processing window [1032,1056] of 17520 indices
Processing window [1056,1080] of 17520 indices
Processing window [1080,1104] of 17520 indices
Processing window [1104,1128] of 17520 indices
Processing window [1128,1152] of 17520 indices
Processing window [1152,1176] of 17520 indices
Processing window [1176,1200] of 17520 indices
Processing window [1200,1224] of 17520 indices
Processing window [1224,1248] of 17520 indices
Processing window [1248,1272] of 17520 indices
Processing window [1272,1296] of 17520 indices
Processing window [1296,1320] of 17520 indices
Processing window [1320,1344] of 17520 indices
Processing window [1344,1368] of 17520 indices
Processing window [1368,1392] of 17520 indices
Processing window [1392,1416] of 17520 indices
Processing window [1416,1440] of 17520 indices
Processing window [1440,1464] of 17520 indices
Processing window [1464,1488] of 17520 indices
Processing window [1488,1512] of 17520 indices
Processing window [1512,1536] of 17520 indices
Processing window [1536,1560] of 17520 indices
Processing window [1560,1584] of 17520 indices
Processing window [1584,1608] of 17520 indices
Processing window [1608,1632] of 17520 indices
Processing window [1632,1656] of 17520 indices
Processing window [1656,1680] of 17520 indices
Processing window [1680,1704] of 17520 indices
Processing window [1704,1728] of 17520 indices
Processing window [1728,1752] of 17520 indices
Processing window [1752,1776] of 17520 indices
Processing window [1776,1800] of 17520 indices
Processing window [1800,1824] of 17520 indices
Processing window [1824,1848] of 17520 indices
Processing window [1848,1872] of 17520 indices
Processing window [1872,1896] of 17520 indices
Processing window [1896,1920] of 17520 indices
Processing window [1920,1944] of 17520 indices
Processing window [1944,1968] of 17520 indices
Processing window [1968,1992] of 17520 indices
Processing window [1992,2016] of 17520 indices
Processing window [2016,2040] of 17520 indices
Processing window [2040,2064] of 17520 indices
Processing window [2064,2088] of 17520 indices
Processing window [2088,2112] of 17520 indices
Processing window [2112,2136] of 17520 indices
Processing window [2136,2160] of 17520 indices
Processing window [2160,2184] of 17520 indices
Processing window [2184,2208] of 17520 indices
Processing window [2208,2232] of 17520 indices
Processing window [2232,2256] of 17520 indices
Processing window [2256,2280] of 17520 indices
Processing window [2280,2304] of 17520 indices
Processing window [2304,2328] of 17520 indices
Processing window [2328,2352] of 17520 indices
Processing window [2352,2376] of 17520 indices
Processing window [2376,2400] of 17520 indices
Processing window [2400,2424] of 17520 indices
